"hellfire.bin","Hellfire","Kids"
"rrash2.bin","Road Rash 2","Kids"
"sonic3.bin","Sonic 3","Kids"
"sor.bin","Streets of Rage","Kids"
"sor2.bin","Streets of Rage 2","Kids"
"sor3.bin","Streets of Rage 3","Kids"
