"solstice.nes","Solstice","Kids"
"mario.nes","Super Mario Brothers","Kids"
"smb2.nes","Super Mario Brothers 2","Kids"
"smb3.nes","Super Mario Brothers 3","Kids"
"TMNT.NES","TMNT","Kids"
"zelda.nes","The Legend of Zelda","Kids"
