"mk","Mortal Kombat",""
"mk2","Mortal Kombat 2",""
"mk3","Mortal Kombat 3",""
"umk3","Ultimate Mortal Kombat 3",""
"ffight","Final Fight","Kids"
"tmnt","Teenage Mutant Ninja Turtles","Kids"
"tmnt2","TMNT: Turtles in Time","Kids"
"frogger","Frogger","Kids"
